Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"C2, C1",0.1uF,C0805,08055C104KAT2A,AVX,DK,478-1395-1-ND,CAP CER 0.1UF 50V X7R 0805,REF20
1,"R1",4.7K,R0805,RC0805JR-0747KL,Yageo,DK,311-47KARCT-ND,RES SMD 47K OHM 5% 1/8W 0805,REF34
1,"Q1",16MHz,CRYSTAL-SMD-5X3,ABM3B-16.000MHZ-10-1-U-T,Abracon LLC,DK,300-8206-2-ND,16MHz ±10ppm Crystal 10pF 50 Ohm -10°C ~ 60°C Surface Mount 4-SMD, No Lead (DFN, LCC),REF33
1,"C5",22pF,C0805,C0805C220J5GACTU,Kemet,DK,399-1113-1-ND,CAP CER 22PF 50V NP0 0805,REF29
1,"C7",22pF,C0805,GRM219R61A226MEA0D,Murata ,DK,490-9951-1-ND,CAP CER 22UF 10V X5R 0805,REF21
1,"R2",120,R0805,RC0603FR-07120RL,Yageo,DK,311-120HRCT-ND,RES SMD 120 OHM 1% 1/10W 0603,REF7
1,"JP1",AMP 5103308-1,2X5-SHROUDED,5103308-1,TE Connectivity AMP Connectors,DK,A33159-ND,CONN HEADER LOPRO STR 10POS GOLD,REF31
1,"CONN-JP1",BOM-ENTRY,*,1658621-1,TE Connectivity AMP Connectors,DK,AKC10H-ND,CONN IDC SKT 10POS W/POL 15 GOLD,REF32
1,"IC1",MCP2515,SO-18W,MCP2515-I/SO,Microchip,DK,MCP2515-I/SO-ND,IC CAN CONTROLLER W/SPI 18SOIC,REF30
1,"D1",PESD1CAN,SOT23,PESD1CAN-215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
6,"U1, JP2, STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4",STAND-OFF,STAND-OFF,***PART# '*' NOT FOUND***,*,*,*,*,*
1,"IC2",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
