Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,JP2/STANDOFF1/STANDOFF2/STANDOFF3/STANDOFF4/U1,6,*** PART# '*' NOT FOUND : JP2/STANDOFF1/STANDOFF2/STANDOFF3/STANDOFF4/U1
478-1395-1-ND,AVX,08055C104KAT2A,REF20,2,
AKC10H-ND,TE Connectivity AMP Connectors,1658621-1,REF32,1,
A33159-ND,TE Connectivity AMP Connectors,5103308-1,REF31,1,
300-8206-2-ND,Abracon LLC,ABM3B-16.000MHZ-10-1-U-T,REF33,1,
399-1113-1-ND,Kemet,C0805C220J5GACTU,REF29,1,
490-9951-1-ND,Murata ,GRM219R61A226MEA0D,REF21,1,
MCP2515-I/SO-ND,Microchip,MCP2515-I/SO,REF30,1,
568-4032-1-ND,NXP Semiconductors,PESD1CAN-215,REF2,1,
311-120HRCT-ND,Yageo,RC0603FR-07120RL,REF7,1,
311-47KARCT-ND,Yageo,RC0805JR-0747KL,REF34,1,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,REF16,1,
